,Zip_Code,Year_Built,Energy_Star,Site_EUI,Nat_Gas,Elec_Use,GHG,Water_Use,NGI,EI,WI,GHGI,OPSFT,Age
36,-0.5814547162500618,1.9749409604533712,-1.562804719773494,-0.03420265831449868,-0.005259180299687141,0.17861251318378682,-0.0203267066525114,0.07520316543811535,-0.013131390277210829,-0.00036482224386259456,-0.07212867622458169,-0.03312720762188632,-1.7251155917926393,-1.9749409604533703
37,-0.5814547162500618,1.2367263596294615,0.012145437875521038,-0.035074429011726874,-0.021422981628458602,0.06335896103188374,-0.028812372926583008,-0.022097828003059483,-0.018882525394471415,-0.009633784363509536,-0.08089373622823087,-0.03259116605290328,-1.4980604192467404,-1.2367263596294604
49,-1.0631743426441684,-1.7512851198958874,,-0.03603022580025417,-0.021801230592508967,0.09610625173353522,-0.029764857626406318,-0.015463824555231475,-0.01910178835304422,-0.0010647061489305455,-0.08070167945020557,-0.03376839281310722,-1.5319122691692086,1.7512851198958892
62,-1.06669054429668,-1.7512851198958874,,-0.032375090828743194,-0.020465526156000682,0.23679564679062765,-0.02029155961561755,0.005663922915257325,-0.018778550624039124,0.0010937543615435984,-0.09274067363708394,-0.03496932074861596,-1.7967155155571368,1.7512851198958892
65,-1.0649324434704242,1.6585632743859813,-0.5784608712428596,-0.03596720623177984,-0.0126865143749147,0.20177447204063673,-0.02261946502588682,0.05455683561360894,-0.01625147582960564,-0.0030493424946861853,-0.08178266011064485,-0.035337159295189255,-1.7779042457621557,-1.6585632743859804
71,-1.06669054429668,-0.8373051379234278,,-0.031177719027730984,-0.019687531308184274,0.04260592175145495,-0.025229718299203334,0.02407387998715061,-0.017645388676791607,-0.007559654354347334,-0.054339901545967524,-0.027418857387130156,-1.3611968113243162,0.8373051379234294
78,-1.06669054429668,-4.317459684664716,-1.7924849510973087,-0.03298427999066169,-0.020167801979259672,-0.03151527194352293,-0.04344642752128526,-0.13585806966219433,-0.014393236169568936,0.024866271371353724,-0.11925637052992376,-0.032135797721395465,0.7876598857126953,4.317459684664719
90,-1.0649324434704242,0.2172871489678719,,-0.029980347226718766,-0.021391007278938657,0.016011356308810627,-0.03745151459509109,-0.058834660614560684,-0.018224156052071228,0.027547292356536843,-0.05570844106575217,-0.02845646682296239,-0.5258969780240369,-0.21728714896787046
96,-1.0649324434704242,1.8343286555345313,,-0.031219732073380534,-0.007492997833422901,0.1300173905912479,-0.019855736358133827,0.03151935100373852,-0.013285452611468539,-0.005632408607395309,-0.07727822181494332,-0.03148667575791988,-1.6702917253770708,-1.8343286555345302
139,-1.0069151162039807,1.7640225030751113,-0.9721984106551134,-0.03295277020642453,0.008274449605009596,0.25065354044079313,-0.005336495417284808,0.2136226887414584,-0.011608231177181181,-0.00802079710461325,-0.06518534724779357,-0.032334731090911915,-1.8617680144381725,-1.7640225030751102
